,name,host_id,host_name,borough,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,host_total_listings,availability_365,availability_flag,likely_daily_earnings,review_month,review_day,price_bin,estimated_revenue
2265,private spacious sunny bedroom,3696460,Radium,Brooklyn,Kensington,40.63381,-73.9714,Private room,50,30,10,2016-11-30,0.13,1,205,High (>180),0.21666666666666665,November,Wednesday,<50,2340.0
2266,North Williamsburg whole apt - Off the BEDFORD L,6263282,Liza,Brooklyn,Williamsburg,40.71813,-73.95981,Entire home/apt,212,2,51,2019-06-15,0.91,1,147,Low (<=180),6.430666666666666,June,Saturday,$200-300,4630.08
2267,Private Master Bedroom@Central Park,2010724,K. Naomi,Manhattan,East Harlem,40.7948,-73.94835,Private room,108,14,4,2015-09-22,0.06,3,38,Low (<=180),0.216,September,Tuesday,$100-150,1088.6399999999999
2268,Oasis in the West Village,6376776,Kurt,Manhattan,West Village,40.73804,-74.00416,Private room,89,30,13,2018-04-30,0.18,1,282,High (>180),0.534,April,Monday,$50-100,5767.2
2269,COMFORTABLE NYC RETREAT & Breakfast,6375533,LaNola,Manhattan,East Harlem,40.79025,-73.9488,Private room,89,1,273,2019-06-23,3.66,2,47,Low (<=180),10.858,June,Sunday,$50-100,3908.88
2270,Quiet/Clean minutes to Manhattan,6385492,John,Queens,Sunnyside,40.74239,-73.92213,Private room,65,2,12,2018-09-30,0.16,1,332,High (>180),0.3466666666666667,September,Sunday,$50-100,249.60000000000002
2271,Spring in Central Park-UWS,3496628,Ali,Manhattan,Upper West Side,40.78571,-73.97149,Entire home/apt,239,4,3,2017-05-20,0.04,1,184,High (>180),0.31866666666666665,May,Saturday,$200-300,458.88
2272,Entire 2 bedroom flat,6387355,Eric,Brooklyn,Bushwick,40.69814,-73.92996,Entire home/apt,99,30,13,2018-09-14,0.25,2,280,High (>180),0.825,September,Friday,$50-100,8910.0
2273,Gorgeous Large Sunny Room - Upper Manhattan,6388666,Celine,Manhattan,Washington Heights,40.84002,-73.9385,Private room,80,2,56,2019-06-22,0.76,1,249,High (>180),2.0266666666666664,June,Saturday,$50-100,1459.1999999999998
2274,Cozy Greenpoint Accommodation,6394282,Patricia,Brooklyn,Greenpoint,40.73135,-73.95489,Private room,55,7,116,2019-06-09,1.57,1,308,High (>180),2.8783333333333334,June,Sunday,$50-100,7253.400000000001
2275,Modern Trendy Duplex Brooklyn Loft!,6407125,Alyssia,Brooklyn,Bushwick,40.69776,-73.90939,Entire home/apt,160,2,31,2018-10-26,0.42,1,0,Low (<=180),2.24,October,Friday,$150-200,1612.8000000000002
2276,Nolita: 1BR with private bathroom,6395317,Pierre,Manhattan,Nolita,40.72011,-73.99468,Private room,100,15,5,2019-04-30,0.08,1,197,High (>180),0.26666666666666666,April,Tuesday,$50-100,1440.0
2277,Great One-Bed in the West Village,6414916,Jon,Manhattan,Greenwich Village,40.7302,-74.00165,Entire home/apt,225,2,136,2019-06-22,1.83,1,10,Low (<=180),13.725000000000001,June,Saturday,$200-300,9882.0
2278,Manhattan apt in the centre of it!,4922378,Erin,Manhattan,Midtown,40.74568,-73.98321,Entire home/apt,275,7,6,2016-10-09,0.08,1,191,High (>180),0.7333333333333333,October,Sunday,$200-300,1848.0
2279,Steps to Subway! Entire apt! 20 min to Manhattan!,6387598,Ana,Brooklyn,Bedford-Stuyvesant,40.68177,-73.9389,Entire home/apt,200,2,80,2019-07-01,3.93,1,109,Low (<=180),26.200000000000003,July,Monday,$150-200,18864.0
2280,*Soho Duplex* with private rooftop,5189987,Jorge,Manhattan,SoHo,40.7252,-74.00279,Entire home/apt,190,4,25,2017-01-03,0.34,1,0,Low (<=180),2.1533333333333333,January,Tuesday,$150-200,3100.8
2281,LARGE light filled loft/apt! PRIME Williamsburg.✨,5536387,Heather And John,Brooklyn,Williamsburg,40.71374,-73.94642,Private room,117,2,43,2019-05-28,0.59,1,88,Low (<=180),2.3009999999999997,May,Tuesday,$100-150,1656.72
2282,Amazing View from Contemporary Loft,6444977,Chris,Manhattan,Midtown,40.74542,-73.98205,Shared room,80,1,66,2019-05-04,0.89,1,365,High (>180),2.3733333333333335,May,Saturday,$50-100,854.4000000000001
2283,"Private, Cozy hideaway apt in Bklyn for 1 to 3 .",6445684,Sharon,Brooklyn,Canarsie,40.64298,-73.89035,Entire home/apt,99,1,93,2019-06-23,1.28,1,311,High (>180),4.224,June,Sunday,$50-100,1520.6399999999999
2284,"Beautiful, clean 1-bdrm private apt",6447462,Adam,Manhattan,Washington Heights,40.8506,-73.94023,Entire home/apt,70,6,19,2017-07-24,0.26,1,188,High (>180),0.6066666666666667,July,Monday,$50-100,1310.4
2285,PRIVATE ROOM (BRIGHT & CLEAN) Manhattan NYC,2559004,Sergio,Manhattan,East Harlem,40.80393,-73.94046,Private room,44,30,2,2017-08-12,0.03,5,325,High (>180),0.044,August,Saturday,<50,475.20000000000005
2286,Comfortable Central Park North Rm,3274316,Clotaire,Manhattan,Harlem,40.8004,-73.95645,Private room,125,1,85,2019-06-29,1.15,1,301,High (>180),4.791666666666666,June,Saturday,$100-150,1725.0
2287,"spacious, tranquil east village apt",6030235,Parker (& Juan),Manhattan,Lower East Side,40.71646,-73.97656,Entire home/apt,130,2,32,2019-04-06,0.44,1,184,High (>180),1.9066666666666667,April,Saturday,$100-150,1372.8000000000002
2288,One-Bedroom Apt. on Upper East Side,6459215,Aryn,Manhattan,Upper East Side,40.76841,-73.95213,Entire home/apt,130,14,8,2016-01-09,0.11,1,332,High (>180),0.4766666666666667,January,Saturday,$100-150,2402.3999999999996
2289,Best Chelsea Street. Beautiful Room. Superhost.,6467086,George,Manhattan,Chelsea,40.74652,-74.00089,Private room,125,2,228,2019-07-01,3.07,1,53,Low (<=180),12.791666666666666,July,Monday,$100-150,9210.0
2290,"Large apt at Central Park, TimesSq",6470443,Alex,Manhattan,Hell's Kitchen,40.76636,-73.9855,Entire home/apt,199,7,30,2019-01-26,0.52,1,184,High (>180),3.449333333333333,January,Saturday,$150-200,8692.32
2291,"Sunny, Quiet! Lovely 1 Bedroom in Prospect Heights",6436296,Zach,Brooklyn,Prospect Heights,40.67839,-73.96623,Entire home/apt,155,4,125,2018-12-29,1.68,1,297,High (>180),8.68,December,Saturday,$150-200,12499.199999999999
2292,Perfect 1st Floor Brownstone in Meatpacking- 2 ppl,732985,Nicki,Manhattan,Chelsea,40.73984,-74.00187,Entire home/apt,248,2,9,2015-05-17,0.12,1,363,High (>180),0.992,May,Sunday,$200-300,714.24
2293,Sunlit cozy studio apt in UWS (70s),6474981,Kinneret,Manhattan,Upper West Side,40.77938,-73.98721,Entire home/apt,85,4,42,2019-06-16,1.44,1,9,Low (<=180),4.08,June,Sunday,$50-100,5875.2
2294,Central Park Room/Bath with a View!,6482637,William,Manhattan,Upper West Side,40.79631,-73.96152,Private room,85,3,118,2019-01-23,1.61,1,0,Low (<=180),4.5616666666666665,January,Wednesday,$50-100,4926.6
2295,Peaceful Brooklyn Flat,6483295,Jason,Brooklyn,Bay Ridge,40.63719,-74.03489,Entire home/apt,80,3,38,2019-05-01,0.53,1,192,High (>180),1.4133333333333333,May,Wednesday,$50-100,1526.4
2296,Sexy Bedroom near Central Park!,6486116,Ari,Manhattan,East Harlem,40.78943,-73.94726,Private room,79,1,38,2019-05-04,0.6,4,106,Low (<=180),1.58,May,Saturday,$50-100,568.8
2297,beautiful spacious room,6471461,Robert,Queens,Ridgewood,40.70823,-73.89925,Private room,55,1,224,2019-07-02,3.87,2,356,High (>180),7.095000000000001,July,Tuesday,$50-100,2554.2
2298,PRIVATE ROOM IN NYC ARTIST LOFT,6494389,Daniel,Bronx,Port Morris,40.80904,-73.93037,Private room,65,2,64,2019-06-20,0.87,1,307,High (>180),1.885,June,Thursday,$50-100,1357.1999999999998
2299,"Bright, New Luxury Exec Studio ",6501414,Sean,Manhattan,Hell's Kitchen,40.76161,-73.99452,Entire home/apt,150,60,7,2018-10-17,0.1,1,188,High (>180),0.5,October,Wednesday,$100-150,10800.0
2300,Authentic Soho Loft (1200 sq ft),867249,Norwin,Manhattan,Tribeca,40.71976,-74.00571,Entire home/apt,285,2,124,2019-06-22,1.7,1,131,Low (<=180),16.15,June,Saturday,$200-300,11628.0
2301,Large 1 Bedroom in Astoria,3202825,Joseph,Queens,Astoria,40.76797,-73.92858,Entire home/apt,119,7,11,2019-04-30,0.63,1,143,Low (<=180),2.499,April,Tuesday,$100-150,6297.48
2302,"STUNNING OCEAN-VIEW 1BR in BROOKLYN, NYC",6514245,Al,Brooklyn,Brighton Beach,40.57519,-73.95468,Entire home/apt,137,2,59,2019-06-28,0.81,1,80,Low (<=180),3.6990000000000003,June,Friday,$100-150,2663.28
2303,ENTIRE 1 Bedroom apartment- Upper East Side,6525255,Dana,Manhattan,Upper East Side,40.76703,-73.95413,Entire home/apt,190,2,191,2019-06-23,2.6,1,282,High (>180),16.46666666666667,June,Sunday,$150-200,11856.0
2304,Sunny room - Prime Location,6527494,Mar,Manhattan,Two Bridges,40.71166,-73.9972,Private room,80,1,1,2016-07-01,0.03,1,0,Low (<=180),0.08,July,Friday,$50-100,28.799999999999997
2305,Cozy 1 Bedroom in Clinton Hill,6531502,Shannon And Dahrehn,Brooklyn,Bedford-Stuyvesant,40.68647,-73.95909,Entire home/apt,120,3,155,2019-06-15,2.39,1,18,Low (<=180),9.56,June,Saturday,$100-150,10324.800000000001
2306,The Ganham House,6532132,MarQuerite,Brooklyn,East Flatbush,40.65176,-73.93452,Entire home/apt,95,3,105,2019-06-24,1.42,1,333,High (>180),4.496666666666666,June,Monday,$50-100,4856.4
2307,Creative Hub in Upper Manhattan,4324767,Caits & Taf,Manhattan,Washington Heights,40.83448,-73.94476,Private room,90,1,33,2016-05-09,0.48,1,189,High (>180),1.44,May,Monday,$50-100,518.4
2308,Sunny Bedroom in Clinton Hill,2360794,Gillian,Brooklyn,Clinton Hill,40.69258,-73.96649,Private room,75,3,11,2018-10-22,0.16,1,318,High (>180),0.39999999999999997,October,Monday,$50-100,432.0
2309,1 room available for rent in 3 bedroom.,6554341,Beca,Brooklyn,Crown Heights,40.67463,-73.91811,Private room,103,8,5,2018-08-25,0.21,1,2,Low (<=180),0.721,August,Saturday,$100-150,2076.48
2310,Quiet minimal clean,6575712,Emma,Manhattan,East Village,40.73138,-73.98807,Entire home/apt,125,2,28,2019-05-20,0.45,1,179,Low (<=180),1.8750000000000002,May,Monday,$100-150,1350.0
2311,Cozy & Private Fort Green Cottage,6582962,Allon,Brooklyn,Fort Greene,40.69486,-73.97132,Entire home/apt,150,2,213,2019-07-06,2.87,1,288,High (>180),14.35,July,Saturday,$100-150,10332.0
2312,Beautiful East Village Apt,396433,Kevin,Manhattan,East Village,40.72499,-73.98127,Private room,148,3,14,2019-05-17,0.24,1,365,High (>180),1.184,May,Friday,$100-150,1278.72
2313,East Village Bright & Spacious Artist Loft,2910509,Tamar,Manhattan,East Village,40.72434,-73.97715,Entire home/apt,120,29,10,2019-01-18,0.17,1,3,Low (<=180),0.68,January,Friday,$100-150,7099.200000000001
2314,Authentic NYC Living 2,622855,Rodney,Brooklyn,Bedford-Stuyvesant,40.68272,-73.92885,Entire home/apt,99,3,68,2019-06-26,0.97,2,270,High (>180),3.201,June,Wednesday,$50-100,3457.08
2315,The Green Room: Your NYC Adventure starts here,3007815,Alia,Queens,Ditmars Steinway,40.77147,-73.9166,Private room,69,2,103,2019-06-23,1.39,2,124,Low (<=180),3.1969999999999996,June,Sunday,$50-100,2301.84
2316,Stylish apt in the heart of NYC!,2554853,Nim,Manhattan,Midtown,40.75099,-73.96994,Entire home/apt,200,1,7,2019-04-12,0.1,1,358,High (>180),0.6666666666666667,April,Friday,$150-200,240.0
2317,Large room in Washington Heights,3166165,Karen,Manhattan,Washington Heights,40.85121,-73.93734,Private room,55,5,4,2016-08-19,0.07,1,218,High (>180),0.12833333333333335,August,Friday,$50-100,231.00000000000006
2318,"Cozy, modern 1BR, 1st fl brownstone",6625516,Carlos,Manhattan,Upper West Side,40.78806,-73.97969,Entire home/apt,175,8,3,2018-07-31,0.04,1,68,Low (<=180),0.23333333333333334,July,Tuesday,$150-200,672.0
2319,Private 2 bedroom Midtown Manhattan,6626827,Steve,Manhattan,Hell's Kitchen,40.76247,-73.99294,Private room,240,4,77,2019-06-19,1.81,1,21,Low (<=180),14.48,June,Wednesday,$200-300,20851.2
2320,Rm #1 River view Hamilton Heights,6632440,Emmett,Manhattan,Harlem,40.82393,-73.95308,Private room,95,7,2,2014-10-12,0.03,2,365,High (>180),0.095,October,Sunday,$50-100,239.39999999999998
2321,Floating Cabin Houseboat Rockaway Surf's Up!,5720054,Ingrid,Queens,Arverne,40.59204,-73.78665,Entire home/apt,150,1,109,2019-06-22,1.49,1,358,High (>180),7.449999999999999,June,Saturday,$100-150,2682.0
2322,Prospect Park Apt,6533489,Ryan,Brooklyn,Crown Heights,40.67394,-73.95951,Entire home/apt,150,2,1,2017-06-22,0.04,1,0,Low (<=180),0.19999999999999998,June,Thursday,$100-150,144.0
2323,Sunny Williamsburg Apt w/ Deck,645887,Dave & Theresa,Brooklyn,Williamsburg,40.71317,-73.94851,Entire home/apt,179,3,146,2019-06-26,2.08,2,282,High (>180),12.410666666666666,June,Wednesday,$150-200,13403.52
2324,Williamsburg Penthouse Hideaway,6642777,Martin,Brooklyn,Williamsburg,40.71024,-73.9517,Private room,105,1,374,2019-06-23,5.06,2,69,Low (<=180),17.71,June,Sunday,$100-150,6375.599999999999
2325,"BK Rest - Williamsburg, Brooklyn",4532557,Joshua,Brooklyn,Williamsburg,40.70653,-73.9462,Entire home/apt,84,45,45,2019-06-04,0.61,1,244,High (>180),1.708,June,Tuesday,$50-100,27669.6
2326,Cozy 2 BR apartment in Queens,2050338,Verena,Queens,Richmond Hill,40.69414,-73.82538,Entire home/apt,90,30,33,2017-12-08,0.46,3,298,High (>180),1.3800000000000001,December,Friday,$50-100,14904.0
2327,Furnished 1 Bedroom in East Harlem,3757699,Jeremiah,Manhattan,East Harlem,40.79293,-73.94048,Entire home/apt,53,7,7,2019-02-19,0.33,2,0,Low (<=180),0.5830000000000001,February,Tuesday,$50-100,1469.16
2328,Private Room (Cozy & Clean) Manhattan NYC,2559004,Sergio,Manhattan,East Harlem,40.8035,-73.94041,Private room,41,30,4,2018-07-01,0.09,5,217,High (>180),0.123,July,Sunday,<50,1328.4
2329,Newly Renovated West Village Privat,5962196,Karim,Manhattan,Flatiron District,40.74389,-73.99159,Private room,135,1,17,2016-09-27,0.25,1,365,High (>180),1.125,September,Tuesday,$100-150,405.0
2330,"Renovated, Residential Space",3475005,Yolanda,Queens,Queens Village,40.70382,-73.73955,Entire home/apt,84,2,172,2019-06-27,2.32,2,345,High (>180),6.4959999999999996,June,Thursday,$50-100,4677.12
2331,Stunning Sundrenched Tribeca Loft,6672450,Jacqueline,Manhattan,Tribeca,40.71908,-74.00546,Entire home/apt,290,1,21,2019-06-23,0.29,1,128,Low (<=180),2.803333333333333,June,Sunday,$200-300,1009.1999999999999
2332,"Cozy, friendly, 3 min from subway.",3571821,Andy & Friends,Brooklyn,Bedford-Stuyvesant,40.69122,-73.95648,Shared room,35,5,110,2018-01-03,1.49,4,0,Low (<=180),1.7383333333333333,January,Wednesday,<50,3129.0
2333,Lovely Studio in Astoria,6682511,Inga,Queens,Ditmars Steinway,40.77546,-73.91571,Entire home/apt,110,3,23,2019-01-04,0.67,1,14,Low (<=180),2.4566666666666666,January,Friday,$100-150,2653.2000000000003
2334,"Lovely, Private Home in Greenpoint",2888900,Alex,Brooklyn,Greenpoint,40.72992,-73.95628,Entire home/apt,350,7,4,2015-07-01,0.06,2,0,Low (<=180),0.7000000000000001,July,Wednesday,$300-500,1764.0
2335,Private bedroom (15 min Manhattan).,6688471,Guillaume,Brooklyn,Bedford-Stuyvesant,40.69652,-73.93548,Private room,60,3,13,2019-05-15,0.22,1,294,High (>180),0.44,May,Wednesday,$50-100,475.20000000000005
2336,Modern Williamsburg,3086048,Christine,Brooklyn,Williamsburg,40.71704,-73.95789,Entire home/apt,275,4,27,2019-01-02,0.37,1,197,High (>180),3.3916666666666666,January,Wednesday,$200-300,4884.0
2337,Stylish Apt in Heart of Ft. Greene,2305477,Amy,Brooklyn,Fort Greene,40.68764,-73.97545,Entire home/apt,142,7,6,2018-12-02,0.11,1,188,High (>180),0.5206666666666666,December,Sunday,$100-150,1312.08
2338,SUNNY AND COZY BEDROOM IN BROOKLYN!,6706914,Leanne,Brooklyn,Crown Heights,40.67322,-73.95847,Private room,38,5,1,2015-08-01,0.02,2,0,Low (<=180),0.025333333333333333,August,Saturday,<50,45.6
2339,LUXURY TIMES SQUARE APARTMENT,5894425,Dan,Manhattan,Hell's Kitchen,40.76168,-73.9949,Entire home/apt,200,2,52,2019-04-10,0.71,1,193,High (>180),4.733333333333333,April,Wednesday,$150-200,3408.0
2340,"Beautiful Huge Loft in Williamsburg, NY",3547817,Tad,Brooklyn,Williamsburg,40.71038,-73.96299,Entire home/apt,225,3,56,2019-06-26,0.79,1,55,Low (<=180),5.925,June,Wednesday,$200-300,6399.0
2341,Manhattan Upper East Side 1bedroom,6721198,Susie,Manhattan,Upper East Side,40.78104,-73.94916,Entire home/apt,135,1,190,2019-06-21,2.57,1,105,Low (<=180),11.564999999999998,June,Friday,$100-150,4163.4
2342,Big Private Room w/ AC & 5 Blocks to 1 Train,4185151,Gia,Manhattan,Harlem,40.8291,-73.94816,Private room,72,30,3,2015-08-23,0.05,1,179,Low (<=180),0.12000000000000001,August,Sunday,$50-100,1296.0
2343,Stuyvesant Heights Apt mins 2 City,6270968,Ryan,Brooklyn,Bedford-Stuyvesant,40.68185,-73.94108,Private room,59,3,13,2017-08-18,0.26,2,100,Low (<=180),0.5113333333333333,August,Friday,$50-100,552.24
2344,Spacious 4-BD/2BA Townhouse in PLG,6581587,Livia,Brooklyn,Crown Heights,40.66521,-73.95427,Entire home/apt,350,2,23,2019-04-20,0.37,1,188,High (>180),4.316666666666666,April,Saturday,$300-500,3108.0
2345,Cozy Retreat in Brooklyn Apartment,6755111,Jessica,Brooklyn,Kensington,40.6412,-73.9786,Private room,75,2,8,2014-01-07,0.11,1,312,High (>180),0.275,January,Tuesday,$50-100,198.0
2346,Large Sunny Room in Brooklyn,6762247,Thomas,Brooklyn,Bushwick,40.69107,-73.91995,Private room,70,3,12,2018-07-27,0.65,2,0,Low (<=180),1.5166666666666666,July,Friday,$50-100,1638.0
2347,Spacious and clean 1 bed apt in West Harlem,900154,Joel,Manhattan,Harlem,40.80545,-73.95563,Entire home/apt,99,30,4,2018-08-03,0.09,1,0,Low (<=180),0.297,August,Friday,$50-100,3207.6000000000004
2348,Private room 2nd Fl near C&A line and 15mins JFK,6762657,Yvette,Brooklyn,Cypress Hills,40.68287,-73.87295,Private room,42,3,28,2018-01-01,0.74,2,355,High (>180),1.036,January,Monday,<50,1118.8799999999999
2349,Bedroom in big sunny loft (& roof!),2873394,Aurora,Brooklyn,Bushwick,40.69822,-73.93517,Private room,60,2,11,2019-06-04,0.15,2,296,High (>180),0.3,June,Tuesday,$50-100,216.0
2350,Cozy Huge Brownstone in Bedstuy,6781477,Joseph,Brooklyn,Bedford-Stuyvesant,40.69324,-73.93217,Entire home/apt,125,1,153,2019-06-17,2.21,1,1,Low (<=180),9.208333333333334,June,Monday,$100-150,3315.0
2351,Private Room In a Modern Loft,3363749,Alex,Brooklyn,Williamsburg,40.7084,-73.94153,Private room,99,6,148,2019-06-26,2.09,3,252,High (>180),6.897,June,Wednesday,$50-100,14897.519999999997
2352,Charming Prewar on Prospect Park!,6789857,Dayna,Brooklyn,Prospect Heights,40.67321,-73.96574,Entire home/apt,99,5,12,2017-06-29,0.25,1,0,Low (<=180),0.825,June,Thursday,$50-100,1485.0
2353,SPACE FOR 8,6774871,Karece,Brooklyn,Bedford-Stuyvesant,40.68065,-73.95154,Entire home/apt,165,3,130,2017-12-14,1.84,1,0,Low (<=180),10.120000000000001,December,Thursday,$150-200,10929.6
2354,"Entire House in Brooklyn for 6, super good price¡¡",6819812,Margarita,Brooklyn,Kensington,40.6458,-73.97097,Entire home/apt,250,5,11,2019-01-01,0.15,1,34,Low (<=180),1.25,January,Tuesday,$200-300,2250.0
2355,Private Room in Williamsburg!,2868153,Matt,Brooklyn,Williamsburg,40.7149,-73.93983,Private room,135,4,12,2018-10-24,0.17,1,365,High (>180),0.765,October,Wednesday,$100-150,1101.6000000000001
2356,Simple Spacious Uptown Bedroom,6824711,Jordan,Manhattan,Harlem,40.82427,-73.94428,Private room,58,5,66,2018-12-16,0.91,1,242,High (>180),1.7593333333333334,December,Sunday,$50-100,3166.8
2357,Sunny Beach House type room on UWS,5561816,Caitlin,Manhattan,Upper West Side,40.78323,-73.98105,Private room,95,3,191,2019-06-24,2.61,1,207,High (>180),8.264999999999999,June,Monday,$50-100,8926.199999999999
2358,Clean 2Bedroom-Ideal UpperEast Loc.,4995411,Mayrav,Manhattan,Upper East Side,40.76398,-73.9589,Entire home/apt,125,1,92,2019-06-15,1.27,1,247,High (>180),5.291666666666667,June,Saturday,$100-150,1905.0
2359,Beautiful Park Slope apt w garden,1537501,Lenny,Brooklyn,Park Slope,40.67157,-73.9852,Entire home/apt,147,7,42,2019-07-01,0.61,1,365,High (>180),2.989,July,Monday,$100-150,7532.279999999999
2360,Chic Historic Harlem Brownstone,6854750,Margo,Manhattan,Harlem,40.80707,-73.94884,Entire home/apt,300,3,66,2019-06-13,1.62,1,286,High (>180),16.200000000000003,June,Thursday,$200-300,17496.0
2361,Luxury 3 Bd 2Bth w/600 sqft deck,6866620,Adam,Manhattan,Flatiron District,40.74119,-73.99168,Entire home/apt,350,14,4,2018-07-28,0.06,1,5,Low (<=180),0.7000000000000001,July,Saturday,$300-500,3528.0
2362,Stylish Park Slope Townhouse,6873370,Thomas,Brooklyn,Sunset Park,40.66134,-73.98844,Entire home/apt,102,2,24,2019-01-08,0.34,1,0,Low (<=180),1.1560000000000001,January,Tuesday,$100-150,832.3199999999999
2363,Designer amazing room in NYC!!,6881792,Carlos,Manhattan,Harlem,40.81388,-73.95105,Private room,95,5,206,2019-06-21,2.89,1,252,High (>180),9.151666666666667,June,Friday,$50-100,16473.0
2364,nice room in bedstuy N,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.68388,-73.95019,Private room,65,1,85,2019-06-03,1.16,15,345,High (>180),2.513333333333333,June,Monday,$50-100,904.8
2365,Classy Penthouse with Amazing View!,2737373,Ray,Manhattan,Chelsea,40.74984,-73.99482,Entire home/apt,595,3,106,2019-06-18,1.51,1,247,High (>180),29.948333333333334,June,Tuesday,$500-1000,32344.199999999997
2366,BEAUTIFUL UPPER WEST SIDE SANCTUARY,6882340,Patricia,Manhattan,Upper West Side,40.78815,-73.9737,Shared room,165,3,21,2015-10-12,0.29,1,363,High (>180),1.5949999999999998,October,Monday,$150-200,1722.6
2367,Cozy Brownstone Living in Brooklyn,6893861,Phillip + Zack,Brooklyn,Bedford-Stuyvesant,40.68445,-73.93785,Entire home/apt,181,3,153,2019-06-16,3.17,1,174,Low (<=180),19.125666666666664,June,Sunday,$150-200,20655.72
2368,Private room for labor day weekend,6897732,Wilson,Manhattan,Midtown,40.74331,-73.98351,Private room,110,1,4,2015-09-08,0.05,1,0,Low (<=180),0.18333333333333335,September,Tuesday,$100-150,66.0
2369,nice room in bedstuy I,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.68201,-73.95012,Private room,65,1,119,2019-06-30,1.61,15,313,High (>180),3.4883333333333333,June,Sunday,$50-100,1255.8000000000002
2370,Cozy 1 Bedroom Brownstone In Clinton Hill!,6901734,Liz,Brooklyn,Clinton Hill,40.68843,-73.96239,Entire home/apt,155,2,114,2019-06-17,1.82,1,314,High (>180),9.403333333333334,June,Monday,$150-200,6770.400000000001
2371,Clean & Sunny Clinton Hill/Bed room,5619749,Jen,Brooklyn,Bedford-Stuyvesant,40.68919,-73.95399,Private room,50,30,1,2017-01-01,0.03,2,253,High (>180),0.05,January,Sunday,<50,540.0
2372,Lovely spacious 1 Bdrm in Ridgewood,2243431,Marcelle,Queens,Glendale,40.70518,-73.89133,Entire home/apt,85,2,1,2015-03-16,0.02,1,0,Low (<=180),0.056666666666666664,March,Monday,$50-100,40.8
2373,ABSOLUTELY GORGEOUS $10MILLION LOFT w/BASQUIAT,6912221,Masako,Brooklyn,Williamsburg,40.7084,-73.92642,Private room,120,5,6,2019-05-21,0.26,1,66,Low (<=180),1.04,May,Tuesday,$100-150,1872.0
2374,1 Bedroom avail in BK 3BD w/ porch,2246253,Nerenda,Brooklyn,Bedford-Stuyvesant,40.69585,-73.9446,Private room,75,1,2,2014-08-13,0.03,1,0,Low (<=180),0.075,August,Wednesday,$50-100,27.0
2375,nice room in bedstuy H,6885157,Randy,Brooklyn,Bedford-Stuyvesant,40.6824,-73.95039,Private room,55,1,127,2019-06-14,1.77,15,318,High (>180),3.245,June,Friday,$50-100,1168.1999999999998
2376,1 Guest Room in New Condo,6903334,Marisa,Brooklyn,Brooklyn Heights,40.70117,-73.99147,Private room,200,1,3,2015-10-01,0.05,1,0,Low (<=180),0.33333333333333337,October,Thursday,$150-200,120.0
2377,1bedroom apartment in Williamsburg,6949594,Sego,Brooklyn,Williamsburg,40.70971,-73.95621,Entire home/apt,75,7,10,2015-12-19,0.15,1,0,Low (<=180),0.375,December,Saturday,$50-100,945.0
2378,Gorgeous Windsor Terrace home,836911,Cathy,Brooklyn,Windsor Terrace,40.65641,-73.97937,Entire home/apt,150,1,1,2014-05-17,0.02,3,129,Low (<=180),0.09999999999999999,May,Saturday,$100-150,36.0
2379,Private room minutes from midtown!,6959061,Roque,Bronx,Mott Haven,40.81291,-73.90772,Private room,60,2,147,2019-06-24,2.02,1,213,High (>180),4.04,June,Monday,$50-100,2908.8
2380,"Massive, sunny 1-br in Brooklyn",3967827,Ezequiel,Brooklyn,Crown Heights,40.66886,-73.95412,Entire home/apt,150,50,4,2017-08-20,0.07,1,312,High (>180),0.35000000000000003,August,Sunday,$100-150,6300.0
2381,The Original Williamsburg Loft!,3891706,Jon Paul,Brooklyn,Williamsburg,40.71737,-73.96396,Entire home/apt,240,1,77,2019-06-27,1.08,1,116,Low (<=180),8.64,June,Thursday,$200-300,3110.4000000000005
2382,Your private bedroom in the Upper East Side!,6970732,Sullivan,Manhattan,East Harlem,40.78747,-73.95276,Private room,150,3,18,2019-05-04,0.25,1,0,Low (<=180),1.25,May,Saturday,$100-150,1350.0
2383,1BR LUXURY PENTHOUSE MODERN CONDO,2577135,Elena,Manhattan,Financial District,40.70735,-74.00971,Entire home/apt,269,5,18,2018-10-13,0.29,1,179,Low (<=180),2.600333333333333,October,Saturday,$200-300,4680.599999999999
2384,Adorable Williamsburg room!,4365496,Sarah,Brooklyn,Williamsburg,40.70794,-73.96077,Private room,112,2,9,2018-01-02,0.37,2,0,Low (<=180),1.3813333333333333,January,Tuesday,$100-150,994.56
2385,Modern Apartment in Brownstone Bkln,6989825,Angus,Brooklyn,Carroll Gardens,40.68013,-73.99397,Entire home/apt,250,5,49,2019-01-02,0.67,1,0,Low (<=180),5.583333333333333,January,Wednesday,$200-300,10050.0
2386,*Superhost* Modern One Bedroom Manhattan apt,6986713,Chris,Manhattan,Financial District,40.70946,-74.01235,Entire home/apt,350,3,27,2018-09-08,0.37,1,22,Low (<=180),4.316666666666666,September,Saturday,$300-500,4662.0
2387,Live like a real New Yorker!,7016230,André,Manhattan,Lower East Side,40.7191,-73.98866,Entire home/apt,80,3,67,2017-01-16,0.92,1,85,Low (<=180),2.4533333333333336,January,Monday,$50-100,2649.6000000000004
